;Timestamp;ML;IR;Stat;DB;Gender;Chocolate;Stand up;Rand;Bedtime;Good day (1);Good day (2);Stress level;Program;Day;Month;Year;Neighbours;Money
203;4/1/2019 16:02:00;no;0;mu;nee;female;fat;no;4;22,3;Sunny day;Friends, having a dring and bites;30;AI;14.0;9.0;;6.0;0.04
204;4/1/2019 16:02:00;no;0;mu;nee;male;fat;no;8;1:10AM;Beer;Sunshine;70;BA;23.0;2.0;;5.0;5.0
205;4/1/2019 16:02:00;no;1;mu;nee;male;fat;no;6;2230;sunshine;No obligations;65;AI;3.0;5.0;1995.0;23.0;5.0
206;4/1/2019 16:02:00;no;0;mu;nee;male;neither;no;7;12:18;Hookers;Cocaine;0;QRM;6.0;5.0;;8.0;100.0
207;4/1/2019 16:02:00;no;1;mu;ja;male;neither;no;3,14159265359;3 am;If I accomplish all the goal i had prefixed for that day;If i don't have to postpone anything;20;CS;13.0;1.0;1905.0;0.0;50.0
208;4/1/2019 16:02:00;yes;1;mu;nee;female;slim;no;6674336895322579;12;Sun;Time with friends;40;AI;3.0;7.0;1995.0;1.0;50.0
209;4/1/2019 16:02:00;yes;0;sigma;nee;female;fat;no;5;22:30;Sunny weather;Good company;15;BIOINFORMATICS;26.0;8.0;1996.0;1.0;60.0
210;4/1/2019 16:02:01;no;0;mu;nee;female;neither;no;1;00:00;Sunny;Friends&Beer;50;MASTERS EOR;21.0;2.0;1996.0;0.0;20.0
211;4/1/2019 16:01:59;yes;unknown;mu;unknown;female;fat;no;3,33;00:00;Sunny weather;A smooth day;70;BA;28.0;12.0;1994.0;1.0;0.0
212;4/1/2019 16:02:01;no;0;mu;nee;female;slim;no;8;1,3;Nice food;No studying;10;HEALTH SCIENCES;5.0;11.0;1996.0;2.0;0.5
213;4/1/2019 16:02:02;yes;0;mu;nee;male;unknown;no;7;23;Sunny weather;Weekend;101;CS;3.0;4.0;;3.0;0.21
214;4/1/2019 16:02:02;yes;0;mu;ja;female;fat;no;7;2;sun shine;pet;0;BA;8.0;4.0;;3.0;5.0
215;4/1/2019 16:02:02;yes;0;mu;ja;male;neither;no;3,14;11:30 PM;Enough food.;The sun in the afternoon.;70,45;BA;4.0;4.0;1995.0;400.0;80.0
